Additional Parts (Not Mouser).  Delete this section for upload to Mouser,,,,,,,,,,,,,,
Reference,Value,Footprint,Datasheet,Comment,Description,EU_RoHS_Compliance,Height,LCSC Part #,Manufacturer_Name,Manufacturer_Part_Number,Modified,Mouser Part Number,Mouser Price/Stock,Qty
CN650,CPU_EXT,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,,Headers & Wire Housings ECONOSTIK HEADER SR VT TH 1X7,,,,Amphenol FCI,10129378-907003BLF,,649-1012937890703BLF ,https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-907003BLF?qs=0lQeLiL1qyaQcjBpJILP3A%3D%3D,1
CN950,FLOPPY_EXT,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,,Headers & Wire Housings ECONOSTIK HEADER SR VT TH 1X4,,,,Amphenol FCI,10129378-904002BLF,,649-1012937890402BLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-904002BLF?qs=0lQeLiL1qyaw2kaC5TTjqQ%3D%3D,1
CN1201,15 Pin Video,SMD2000_Footprints:1563315E,https://www.mouser.ch/datasheet/2/209/KC-301179-193296.pdf,,,,12.5,,Kobiconn,156-3315-E,,156-3315-E,https://www.mouser.co.uk/ProductDetail/Kobiconn/156-3315-E?qs=RC2ne4458IJMP%252Bd8Z1f5lQ%3D%3D,1
CN1202,ANALOGUE VIDEO,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,,Headers & Wire Housings ECONOSTIK HEADER SR VT TH 1X8,,,,Amphenol FCI,10129378-908001BLF,,649-1012937890801BLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-908001BLF?qs=0lQeLiL1qybDtVkZc9V5DA%3D%3D,1
CN1250,Raspberry Pi Zero,SMD2000_Footprints:PinSocket_2x20_P2.54mm_Vertical,https://au.mouser.com/datasheet/2/813/DS-16763-2_X_20_Pin_Extended_GPIO_Header_-_Female_-1880586.pdf,,,,,,Spark-Fun,PRT-16763,,474-PRT-16763,https://au.mouser.com/ProductDetail/SparkFun/PRT-16763?qs=W%2FMpXkg%252BdQ5xeCq%2FGKjnlQ%3D%3D,1
"CN1251, CN1252",PI BTN,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,,,,,,Amphenol FCI,67996-400HLF,,649-67996-400HLF,https://au.mouser.com/ProductDetail/Amphenol-FCI/67996-400HLF?qs=cpLrBgdhsoHypZ881pDXnQ%3D%3D,2
"D300, D353, D800-D802",1N4148WS,SMD2000_Footprints:SODFL2512X90N,,,"ON Semiconductor Switching Diode, 300mA 75V, 2-Pin SOD-323 1N4148WS",,0.9,C118873,onsemi,1N4148WS,,512-1N4148WS,https://www.mouser.co.uk/ProductDetail/onsemi-Fairchild/1N4148WS?qs=2%2FYqgE%252BHg%252BKBrKZlAsMLhw%3D%3D,5
D360,BLUE,SMD2000_Footprints:LEDC2012X80N,https://katalog.we-online.com/led/datasheet/150080BS75000.pdf,,"LED,Wurth Elektronik,150080BS75000 Wurth Elektronik 150080BS75000, WL-SMCW Series Blue LED, 470 nm 2012 (0805) Clear, Rectangle Lens SMD package",,0.8,C9900019499,Wurth Elektronik,150080BS75000,,710-150080BS75000,https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150080BS75000?qs=2kOmHSv6VfT2tBo3UPVqAQ%3D%3D,1
D803,BAT54WS,SMD2000_Footprints:SOD2513X120N,https://au.mouser.com/datasheet/2/115/DIOD_S_A0004140728_1-2542383.pdf,,"Diodes Inc BAT54WS-7-F, SMT Schottky Switching Diode, 30V 200mA, 5ns, 2-Pin SOD-323",,1.2,C124205,Diodes Inc.,BAT54WS-7-F,,621-BAT54WS-F,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BAT54WS-7-F?qs=BJo294706GxanB6a%2FKrrdw%3D%3D,1
E1-E4,MountingHole_Pad,MountingHole:MountingHole_4mm_Pad_Via,~,,,,,,,,,,,4
"EMI200, EMI229",100 pF,SMD2000_Footprints:W2H11A10184T1F,https://au.mouser.com/datasheet/2/40/MultilayerFeedthruCapacitorsAndArrays-3161979.pdf,,,,1.14,,Kyocera AVX,W2H11A10184T1F,,581-W2H11A10184T1F,https://www.mouser.com/Search/Refine.aspx?Keyword=581-W2H11A10184T1F,2
"FB102, FB301-FB303, FB401, FB907, FB1201-FB1205",FB,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,https://fair-rite.com/product/chip-beads-2512061517y3/#select:onepart,,,,,C6401928,Fair-Rite,2512061217Y5,,623-2512061217Y5,https://au.mouser.com/ProductDetail/Fair-Rite/2512061217Y5?qs=paL1wOLBYNdLzI%2FVPVZ0Rg%3D%3D,11
HY200,VIDIOT,Connector_PinHeader_2.54mm:PinHeader_1x22_P2.54mm_Vertical,,,,,,,,,,,,1
J200,LPEN,Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,~,,,,,,,,,,,1
